Overall Charitable Rank,State,Total Charitable Score,Volunteering & Service Rank,Charitable Giving Rank
1,Minnesota ,71.25,3,4
2,Utah ,71.24,2,8
3,Maryland ,68.87,4,7
4,Oregon ,66.77,1,37
5,Ohio ,66.11,11,9
6,Pennsylvania ,65.88,12,11
7,North Dakota ,64.31,5,29
8,Virginia ,63.94,28,3
9,Washington ,63.63,17,18
10,Maine ,63.62,6,28
11,New Hampshire ,63.2,10,25
12,Alaska ,62.7,7,31
13,Georgia ,62.64,33,2
14,Colorado ,62.31,20,13
15,Arkansas ,62.27,21,12
16,North Carolina ,61.68,23,14
17,Wisconsin ,61.05,19,22
18,Wyoming ,60.91,14,32
19,New York ,60.63,45,1
20,Illinois ,60.61,36,5
21,Idaho ,60.16,8,42
22,Indiana ,59.69,15,38
23,Nebraska ,59.67,13,41
24,Massachusetts ,59.63,40,6
25,Missouri ,59.6,31,17
26,Connecticut ,59.01,30,21
27,Delaware ,58.51,9,47
28,Kentucky ,58.51,24,26
29,New Jersey ,58.4,34,19
30,Michigan ,57.67,42,15
31,Kansas ,57.61,39,20
32,Oklahoma ,57.48,22,35
33,Montana ,57.28,18,40
34,South Carolina ,56.99,38,24
35,South Dakota ,56.94,16,46
36,Vermont ,56.93,26,34
37,Florida ,56.54,41,23
38,Tennessee ,56.26,35,27
39,Alabama ,55.96,46,10
40,Texas ,54.49,25,43
41,Iowa ,54.46,32,39
42,West Virginia ,54.03,27,44
43,California ,53.75,50,16
44,Hawaii ,53.23,29,45
45,Rhode Island ,52.11,44,36
46,Nevada ,51.07,37,48
47,Louisiana ,51,48,33
48,Mississippi ,50.7,49,30
49,New Mexico ,47.12,47,49
50,Arizona ,46.74,43,50